Price,Close,High,Low,Open,Volume
Ticker,^NSEBANK,^NSEBANK,^NSEBANK,^NSEBANK,^NSEBANK
Datetime,,,,,
2025-04-25 03:45:00+00:00,54668.55078125,55349.6484375,54485.1484375,55225.1484375,0
2025-04-25 04:45:00+00:00,54411.8515625,54698.6015625,54321.44921875,54669.75,0
2025-04-25 05:45:00+00:00,54377.44921875,54435.25,54181.8515625,54418.0,0
2025-04-25 06:45:00+00:00,54605.69921875,54616.69921875,54333.25,54377.6015625,0
2025-04-25 07:45:00+00:00,54774.1484375,54911.0,54579.19921875,54605.55078125,0
2025-04-25 08:45:00+00:00,54694.6484375,54870.69921875,54635.80078125,54773.25,0
2025-04-25 09:45:00+00:00,54552.44921875,54696.5,54535.80078125,54695.05078125,0
2025-04-28 03:45:00+00:00,55288.19921875,55293.44921875,54598.3515625,54610.30078125,0
2025-04-28 04:45:00+00:00,55168.80078125,55327.80078125,55159.19921875,55289.3984375,0
2025-04-28 05:45:00+00:00,55349.3515625,55390.8984375,55121.6015625,55169.55078125,0
2025-04-28 06:45:00+00:00,55514.75,55576.75,55343.3515625,55347.94921875,0
2025-04-28 07:45:00+00:00,55511.05078125,55520.6484375,55423.1484375,55519.69921875,0
2025-04-28 08:45:00+00:00,55422.3984375,55527.1015625,55316.1484375,55519.25,0
2025-04-28 09:45:00+00:00,55428.1015625,55446.6015625,55377.5,55422.25,0
2025-04-29 03:45:00+00:00,55531.75,55957.25,55473.8515625,55516.55078125,0
2025-04-29 04:45:00+00:00,55454.94921875,55549.3984375,55371.75,55529.05078125,0
2025-04-29 05:45:00+00:00,55352.25,55482.8515625,55306.3984375,55454.75,0
2025-04-29 06:45:00+00:00,55460.0,55548.44921875,55289.05078125,55352.6015625,0
2025-04-29 07:45:00+00:00,55446.6484375,55479.30078125,55402.6484375,55459.19921875,0
2025-04-29 08:45:00+00:00,55392.55078125,55523.69921875,55391.80078125,55447.5,0
2025-04-29 09:45:00+00:00,55301.1015625,55400.1484375,55265.1484375,55390.6484375,0
2025-04-30 03:45:00+00:00,55247.80078125,55478.25,55095.6484375,55371.0,0
2025-04-30 04:45:00+00:00,55158.3984375,55291.75,55049.8515625,55249.3984375,0
2025-04-30 05:45:00+00:00,55131.3984375,55254.19921875,55115.94921875,55159.69921875,0
2025-04-30 06:45:00+00:00,55225.6484375,55283.94921875,55103.94921875,55132.3515625,0
2025-04-30 07:45:00+00:00,55170.8515625,55252.1484375,55135.30078125,55222.0,0
2025-04-30 08:45:00+00:00,55136.6484375,55233.6484375,55092.75,55171.3515625,0
2025-04-30 09:45:00+00:00,54956.5,55146.94921875,54935.44921875,55138.19921875,0
2025-05-02 03:45:00+00:00,55579.8984375,55689.6015625,55100.94921875,55100.94921875,0
2025-05-02 04:45:00+00:00,55370.44921875,55594.80078125,55321.6015625,55579.75,0
2025-05-02 05:45:00+00:00,55173.75,55422.0,55144.19921875,55370.19921875,0
2025-05-02 06:45:00+00:00,55073.25,55185.8984375,54996.05078125,55170.8984375,0
2025-05-02 07:45:00+00:00,55227.6015625,55290.75,55072.80078125,55072.80078125,0
2025-05-02 08:45:00+00:00,55177.6015625,55246.8515625,54997.0,55226.80078125,0
2025-05-02 09:45:00+00:00,55051.1484375,55183.1015625,55037.30078125,55175.25,0
2025-05-05 03:45:00+00:00,55038.8984375,55336.8984375,54891.3515625,55051.69921875,0
2025-05-05 04:45:00+00:00,54975.80078125,55180.0,54932.5,55043.19921875,0
2025-05-05 05:45:00+00:00,54875.05078125,54992.30078125,54824.8984375,54979.69921875,0
2025-05-05 06:45:00+00:00,54895.3515625,54930.55078125,54786.5,54876.05078125,0
2025-05-05 07:45:00+00:00,55005.6015625,55048.0,54859.0,54889.80078125,0
2025-05-05 08:45:00+00:00,54904.8984375,55081.1484375,54880.1484375,55004.25,0
2025-05-05 09:45:00+00:00,54907.19921875,54963.0,54895.19921875,54904.25,0
2025-05-06 03:45:00+00:00,54601.0,55036.94921875,54601.0,54924.19921875,0
2025-05-06 04:45:00+00:00,54534.1484375,54601.19921875,54489.1484375,54595.19921875,0
2025-05-06 05:45:00+00:00,54515.05078125,54545.75,54400.94921875,54532.80078125,0
2025-05-06 06:45:00+00:00,54498.25,54570.55078125,54453.5,54515.55078125,0
2025-05-06 07:45:00+00:00,54512.3984375,54583.25,54465.1484375,54499.25,0
2025-05-06 08:45:00+00:00,54284.44921875,54522.5,54245.30078125,54517.6015625,0
2025-05-06 09:45:00+00:00,54183.8515625,54290.3984375,54179.0,54284.3515625,0
2025-05-07 03:45:00+00:00,54307.3515625,54671.3515625,53933.6015625,53945.05078125,0
2025-05-07 04:45:00+00:00,54327.8515625,54389.69921875,54222.19921875,54306.8984375,0
2025-05-07 05:45:00+00:00,54337.5,54477.8515625,54291.44921875,54326.8515625,0
2025-05-07 06:45:00+00:00,54271.5,54389.44921875,54226.6015625,54338.05078125,0
2025-05-07 07:45:00+00:00,54410.1015625,54459.80078125,54257.8515625,54271.05078125,0
2025-05-07 08:45:00+00:00,54597.6484375,54605.0,54326.05078125,54419.05078125,0
2025-05-07 09:45:00+00:00,54628.30078125,54680.75,54594.25,54597.1484375,0
2025-05-08 03:45:00+00:00,54763.5,54933.8984375,54602.5,54771.8984375,0
2025-05-08 04:45:00+00:00,54781.75,54870.25,54733.3984375,54760.30078125,0
2025-05-08 05:45:00+00:00,54743.1015625,54802.75,54698.6484375,54781.25,0
2025-05-08 06:45:00+00:00,54791.8515625,54849.1015625,54719.0,54740.94921875,0
2025-05-08 07:45:00+00:00,54540.19921875,54842.8515625,54518.25,54791.8515625,0
2025-05-08 08:45:00+00:00,54466.0,54653.19921875,54343.8515625,54536.8984375,0
2025-05-08 09:45:00+00:00,54141.75,54470.05078125,54109.94921875,54467.80078125,0
2025-05-09 03:45:00+00:00,53765.8984375,54051.05078125,53547.55078125,53620.25,0
2025-05-09 04:45:00+00:00,53713.3515625,53843.69921875,53622.1484375,53769.80078125,0
2025-05-09 05:45:00+00:00,53716.30078125,53920.8515625,53604.6015625,53713.80078125,0
2025-05-09 06:45:00+00:00,53615.1015625,53738.25,53584.0,53717.3984375,0
2025-05-09 07:45:00+00:00,53590.0,53660.0,53533.75,53614.30078125,0
2025-05-09 08:45:00+00:00,53588.5,53643.8515625,53485.05078125,53589.3984375,0
2025-05-09 09:45:00+00:00,53674.05078125,53676.80078125,53573.1484375,53589.5,0
2025-05-12 03:45:00+00:00,55146.3984375,55290.30078125,54570.6484375,54658.75,0
2025-05-12 04:45:00+00:00,55304.55078125,55346.19921875,55135.30078125,55148.3515625,0
2025-05-12 05:45:00+00:00,55150.55078125,55390.25,55134.8984375,55306.1484375,0
2025-05-12 06:45:00+00:00,55189.8984375,55336.75,55123.44921875,55155.3984375,0
2025-05-12 07:45:00+00:00,55291.25,55291.94921875,55184.19921875,55192.6015625,0
2025-05-12 08:45:00+00:00,55325.0,55377.0,55227.75,55289.75,0
2025-05-12 09:45:00+00:00,55411.30078125,55464.94921875,55320.6484375,55324.69921875,0
2025-05-13 03:45:00+00:00,55182.05078125,55497.25,54983.30078125,55233.55078125,0
2025-05-13 04:45:00+00:00,55108.80078125,55314.0,54945.44921875,55176.3515625,0
2025-05-13 05:45:00+00:00,55171.3515625,55332.0,55087.8515625,55107.69921875,0
2025-05-13 06:45:00+00:00,54990.80078125,55211.55078125,54925.69921875,55168.3515625,0
2025-05-13 07:45:00+00:00,54947.30078125,54997.05078125,54889.19921875,54986.94921875,0
2025-05-13 08:45:00+00:00,54929.69921875,55038.05078125,54894.44921875,54946.5,0
2025-05-13 09:45:00+00:00,54964.44921875,54984.6484375,54890.55078125,54932.75,0
2025-05-14 03:45:00+00:00,55089.30078125,55205.25,54886.25,55008.55078125,0
2025-05-14 04:45:00+00:00,55012.8515625,55094.1015625,54951.6484375,55084.55078125,0
2025-05-14 05:45:00+00:00,54839.3984375,55033.94921875,54805.75,55008.3515625,0
2025-05-14 06:45:00+00:00,54682.94921875,54845.0,54492.6484375,54842.8515625,0
2025-05-14 07:45:00+00:00,54654.94921875,54711.55078125,54582.69921875,54682.8515625,0
2025-05-14 08:45:00+00:00,54808.1484375,54831.19921875,54578.6015625,54655.1484375,0
2025-05-14 09:45:00+00:00,54860.55078125,54898.80078125,54759.3984375,54810.80078125,0
2025-05-15 03:45:00+00:00,54562.75,54906.19921875,54443.8515625,54853.69921875,0
2025-05-15 04:45:00+00:00,54616.69921875,55018.0,54491.30078125,54553.80078125,0
2025-05-15 05:45:00+00:00,54711.30078125,54807.0,54570.69921875,54617.1015625,0
2025-05-15 06:45:00+00:00,55096.3984375,55100.30078125,54629.6484375,54711.69921875,0
2025-05-15 07:45:00+00:00,55432.0,55462.1484375,55017.75,55098.80078125,0
2025-05-15 08:45:00+00:00,55362.55078125,55486.3984375,55302.8984375,55427.69921875,0
2025-05-15 09:45:00+00:00,55336.69921875,55375.8984375,55319.55078125,55357.5,0
2025-05-16 03:45:00+00:00,55277.44921875,55417.3515625,55170.6015625,55288.0,0
2025-05-16 04:45:00+00:00,55273.5,55350.44921875,55220.05078125,55280.25,0
2025-05-16 05:45:00+00:00,55263.05078125,55315.3984375,55242.55078125,55271.55078125,0
2025-05-16 06:45:00+00:00,55306.30078125,55359.3515625,55230.19921875,55257.8984375,0
2025-05-16 07:45:00+00:00,55347.69921875,55381.1484375,55276.1015625,55306.3984375,0
2025-05-16 08:45:00+00:00,55363.1015625,55394.69921875,55313.25,55347.30078125,0
2025-05-16 09:45:00+00:00,55350.80078125,55376.75,55311.0,55367.3984375,0
2025-05-19 03:45:00+00:00,55480.94921875,55511.25,55305.25,55331.3515625,0
2025-05-19 04:45:00+00:00,55587.3515625,55648.05078125,55474.44921875,55478.0,0
2025-05-19 05:45:00+00:00,55591.69921875,55671.1484375,55542.19921875,55588.3515625,0
2025-05-19 06:45:00+00:00,55542.05078125,55694.30078125,55522.1484375,55592.3984375,0
2025-05-19 07:45:00+00:00,55399.6015625,55599.5,55355.8984375,55542.05078125,0
2025-05-19 08:45:00+00:00,55417.1015625,55457.5,55303.6484375,55400.75,0
2025-05-19 09:45:00+00:00,55400.6484375,55450.94921875,55376.94921875,55418.30078125,0
2025-05-20 03:45:00+00:00,55194.3984375,55565.94921875,55121.1484375,55443.8515625,0
2025-05-20 04:45:00+00:00,55208.30078125,55344.94921875,55140.30078125,55196.05078125,0
2025-05-20 05:45:00+00:00,55122.19921875,55209.44921875,55074.3515625,55208.1015625,0
2025-05-20 06:45:00+00:00,55009.6484375,55209.05078125,55007.30078125,55131.1484375,0
2025-05-20 07:45:00+00:00,54965.5,55049.6015625,54931.94921875,55009.3984375,0
2025-05-20 08:45:00+00:00,54910.25,54975.05078125,54830.0,54962.8984375,0
2025-05-20 09:45:00+00:00,54932.3515625,54934.30078125,54854.3984375,54910.8515625,0
2025-05-21 03:45:00+00:00,55260.30078125,55265.44921875,54933.3515625,55069.5,0
2025-05-21 04:45:00+00:00,55218.1015625,55336.75,55163.8515625,55261.0,0
2025-05-21 05:45:00+00:00,54813.25,55233.8515625,54790.94921875,55219.25,0
2025-05-21 06:45:00+00:00,55011.1484375,55026.69921875,54690.80078125,54817.55078125,0
2025-05-21 07:45:00+00:00,55007.94921875,55109.3515625,54891.8984375,55012.94921875,0
2025-05-21 08:45:00+00:00,55066.8984375,55112.44921875,54990.3984375,55007.75,0
2025-05-21 09:45:00+00:00,55065.6015625,55097.44921875,55036.5,55066.6015625,0
2025-05-22 03:45:00+00:00,54849.5,54934.3984375,54719.8515625,54869.19921875,0
2025-05-22 04:45:00+00:00,54747.75,54889.6015625,54742.1484375,54849.80078125,0
2025-05-22 05:45:00+00:00,54644.80078125,54776.6015625,54588.80078125,54746.44921875,0
2025-05-22 06:45:00+00:00,54647.3515625,54671.80078125,54577.69921875,54646.6484375,0
2025-05-22 07:45:00+00:00,54653.75,54692.1015625,54616.25,54651.80078125,0
2025-05-22 08:45:00+00:00,54937.6484375,54995.94921875,54587.1484375,54653.5,0
2025-05-22 09:45:00+00:00,54963.25,54989.6015625,54889.80078125,54938.75,0
2025-05-23 03:45:00+00:00,55171.1484375,55200.6015625,54855.19921875,54959.30078125,0
2025-05-23 04:45:00+00:00,55309.25,55338.44921875,55002.94921875,55170.05078125,0
2025-05-23 05:45:00+00:00,55236.3984375,55431.80078125,55192.6484375,55311.8515625,0
2025-05-23 06:45:00+00:00,55362.25,55430.5,55230.6015625,55232.05078125,0
2025-05-23 07:45:00+00:00,55395.75,55438.94921875,55302.6015625,55361.69921875,0
2025-05-23 08:45:00+00:00,55391.25,55420.8984375,55303.1015625,55394.55078125,0
2025-05-23 09:45:00+00:00,55389.6015625,55426.1015625,55379.6484375,55391.25,0
2025-05-26 03:45:00+00:00,55741.3515625,55875.6015625,55520.44921875,55534.8984375,0
2025-05-26 04:45:00+00:00,55480.1015625,55760.1015625,55308.05078125,55739.55078125,0
2025-05-26 05:45:00+00:00,55531.1015625,55576.25,55406.80078125,55481.3515625,0
2025-05-26 06:45:00+00:00,55509.1015625,55611.1015625,55422.75,55531.19921875,0
2025-05-26 07:45:00+00:00,55527.1015625,55555.1484375,55456.8984375,55506.1484375,0
2025-05-26 08:45:00+00:00,55577.1015625,55598.3515625,55447.30078125,55528.94921875,0
2025-05-26 09:45:00+00:00,55558.8984375,55612.6484375,55548.3515625,55578.25,0
2025-05-27 03:45:00+00:00,55112.44921875,55493.94921875,55041.3515625,55483.8984375,0
2025-05-27 04:45:00+00:00,55354.3515625,55449.75,55054.69921875,55109.55078125,0
2025-05-27 05:45:00+00:00,55593.44921875,55828.44921875,55364.44921875,55365.6484375,0
2025-05-27 06:45:00+00:00,55411.5,55623.1015625,55340.8515625,55598.80078125,0
2025-05-27 07:45:00+00:00,55266.94921875,55529.75,55213.55078125,55412.55078125,0
2025-05-27 08:45:00+00:00,55384.55078125,55393.94921875,55110.05078125,55258.8984375,0
2025-05-27 09:45:00+00:00,55352.44921875,55406.1015625,55319.05078125,55386.55078125,0
2025-05-28 03:45:00+00:00,55335.6015625,55521.6015625,55236.55078125,55328.6015625,0
2025-05-28 04:45:00+00:00,55384.8984375,55463.05078125,55278.94921875,55335.30078125,0
2025-05-28 05:45:00+00:00,55318.5,55432.55078125,55303.80078125,55383.6015625,0
2025-05-28 06:45:00+00:00,55433.55078125,55506.8515625,55311.30078125,55319.94921875,0
2025-05-28 07:45:00+00:00,55415.05078125,55464.6484375,55345.6015625,55433.19921875,0
2025-05-28 08:45:00+00:00,55407.75,55478.25,55335.5,55415.6015625,0
2025-05-28 09:45:00+00:00,55447.55078125,55454.25,55396.1015625,55410.05078125,0
2025-05-29 03:45:00+00:00,55350.80078125,55725.3515625,55319.0,55589.3515625,0
2025-05-29 04:45:00+00:00,55213.1015625,55385.0,55196.8984375,55351.55078125,0
2025-05-29 05:45:00+00:00,55191.44921875,55241.30078125,55150.6015625,55197.25,0
2025-05-29 06:45:00+00:00,55266.3515625,55282.3984375,55096.69921875,55189.6484375,0
2025-05-29 07:45:00+00:00,55201.25,55302.25,55187.94921875,55261.6015625,0
2025-05-29 08:45:00+00:00,55591.80078125,55594.8515625,55177.69921875,55201.55078125,0
2025-05-29 09:45:00+00:00,55765.19921875,55781.1015625,55566.0,55591.0,0
2025-05-30 03:45:00+00:00,55559.8515625,55695.55078125,55461.8984375,55611.3984375,0
2025-05-30 04:45:00+00:00,55460.8515625,55562.1484375,55356.8515625,55557.1015625,0
2025-05-30 05:45:00+00:00,55430.5,55551.44921875,55426.8515625,55462.94921875,0
2025-05-30 06:45:00+00:00,55557.8515625,55581.94921875,55402.25,55415.80078125,0
2025-05-30 07:45:00+00:00,55624.1484375,55776.3984375,55557.5,55557.5,0
2025-05-30 08:45:00+00:00,55755.75,55812.6015625,55618.1015625,55626.0,0
2025-05-30 09:45:00+00:00,55755.69921875,55778.8984375,55729.05078125,55755.44921875,0
2025-06-02 03:45:00+00:00,55585.25,55683.3515625,55401.94921875,55598.25,0
2025-06-02 04:45:00+00:00,55615.69921875,55686.44921875,55551.5,55585.55078125,0
2025-06-02 05:45:00+00:00,55726.1015625,55752.19921875,55572.8515625,55616.55078125,0
2025-06-02 06:45:00+00:00,55780.8984375,55834.8515625,55690.25,55725.1015625,0
2025-06-02 07:45:00+00:00,55787.1484375,55872.1015625,55759.05078125,55781.25,0
2025-06-02 08:45:00+00:00,55918.30078125,55964.0,55702.75,55787.94921875,0
2025-06-02 09:45:00+00:00,55862.05078125,55921.8515625,55811.5,55918.0,0
2025-06-03 03:45:00+00:00,55841.6484375,56143.8984375,55716.5,56104.80078125,0
2025-06-03 04:45:00+00:00,55706.80078125,56016.3984375,55704.19921875,55841.94921875,0
2025-06-03 05:45:00+00:00,55680.05078125,55805.30078125,55660.80078125,55709.44921875,0
2025-06-03 06:45:00+00:00,55524.1015625,55727.25,55459.75,55683.25,0
2025-06-03 07:45:00+00:00,55647.6015625,55659.44921875,55467.69921875,55523.1484375,0
2025-06-03 08:45:00+00:00,55600.94921875,55722.1015625,55582.19921875,55650.3515625,0
2025-06-03 09:45:00+00:00,55540.0,55635.8515625,55525.3515625,55598.80078125,0
2025-06-04 03:45:00+00:00,55522.44921875,55779.5,55408.44921875,55652.1484375,0
2025-06-04 04:45:00+00:00,55595.5,55641.6015625,55493.3984375,55522.44921875,0
2025-06-04 05:45:00+00:00,55686.05078125,55702.3515625,55588.6484375,55594.5,0
2025-06-04 06:45:00+00:00,55645.3984375,55700.19921875,55624.55078125,55687.05078125,0
2025-06-04 07:45:00+00:00,55670.6484375,55690.05078125,55597.19921875,55645.55078125,0
2025-06-04 08:45:00+00:00,55666.30078125,55738.0,55624.30078125,55670.1015625,0
2025-06-04 09:45:00+00:00,55665.55078125,55693.6015625,55656.30078125,55665.55078125,0
2025-06-05 03:45:00+00:00,55748.80078125,55849.44921875,55586.44921875,55798.1484375,0
2025-06-05 04:45:00+00:00,55718.44921875,55781.6484375,55666.6484375,55744.6015625,0
2025-06-05 05:45:00+00:00,55953.75,55970.55078125,55694.1484375,55720.25,0
2025-06-05 06:45:00+00:00,55788.25,56009.1484375,55773.6015625,55968.55078125,0
2025-06-05 07:45:00+00:00,55676.8515625,55796.94921875,55629.25,55762.5,0
2025-06-05 08:45:00+00:00,55770.19921875,55783.3515625,55659.1015625,55677.1015625,0
2025-06-05 09:45:00+00:00,55809.75,55841.5,55753.69921875,55764.5,0
2025-06-06 03:45:00+00:00,55690.55078125,55992.55078125,55560.3515625,55699.44921875,0
2025-06-06 04:45:00+00:00,56567.8515625,56577.1015625,55536.5,55691.3984375,0
2025-06-06 05:45:00+00:00,56591.8984375,56649.80078125,56478.6015625,56569.3515625,0
2025-06-06 06:45:00+00:00,56568.3515625,56627.30078125,56454.8515625,56590.5,0
2025-06-06 07:45:00+00:00,56636.69921875,56638.05078125,56495.94921875,56567.75,0
2025-06-06 08:45:00+00:00,56571.1484375,56693.6484375,56548.1015625,56634.30078125,0
